id,price,year,manufacturer,model,condition,odometer,title_status,vin,type,lat,long
1057,1289,77,38,2134,1,2909,0,7864,5,1577,306
1055,2126,80,13,3202,1,220,0,4550,0,1572,304
1051,2157,83,12,1789,0,3265,0,1333,9,1568,319
1049,1042,73,32,0,0,5941,0,612,9,1568,319
1048,1940,82,12,1766,0,4582,0,1300,9,1568,319
1047,1071,71,13,3201,0,4237,0,2622,9,1568,319
1045,918,78,12,1745,0,8445,0,1269,9,1568,319
1044,1940,77,32,0,0,6356,0,4218,9,1568,319
1043,391,58,12,1745,0,7733,0,1577,9,1568,319
1042,1203,78,13,4010,0,7417,0,2420,1,1568,319
1040,1071,71,37,3764,0,6671,0,5613,9,1568,319
1039,1748,80,13,3201,0,3449,0,4531,9,1568,319
1037,1119,68,32,0,0,8488,0,4293,9,1568,319
1036,1637,79,32,160,0,7477,0,4238,9,1568,319
1035,1961,80,13,3201,0,6324,0,2588,9,1568,319
1032,667,66,7,3284,0,7929,0,2222,9,1568,319
1031,410,67,25,3066,0,8045,0,7609,10,1568,319
1030,2205,84,12,1766,0,689,0,1312,9,1568,319
1029,996,75,13,3201,0,8467,0,2602,9,1568,319
1027,1875,72,19,3884,1,3512,0,2914,0,7,0
1024,696,65,12,1636,3,4779,0,2,0,1559,307
999,2186,74,0,2713,0,277,0,2084,9,20,302
993,301,72,15,1122,3,5456,0,3815,10,1581,302
989,1907,79,13,3202,0,4454,0,4553,9,20,302
981,2046,74,0,2236,0,485,0,4517,9,20,302
970,1702,80,32,311,0,3147,4,2,11,1579,301
965,2046,81,7,3286,0,810,0,4441,9,20,302
714,592,81,7,3438,4,1028,0,2,0,1576,298
934,1837,56,0,442,1,396,0,2,0,18,311
926,2099,74,0,2712,0,209,0,4422,9,20,302
902,2008,82,32,17,0,702,0,597,9,20,302
851,2099,74,0,2236,0,295,0,2654,9,20,302
816,2196,74,0,2236,0,272,0,2658,9,20,302
800,1716,80,22,3039,0,1820,0,4017,1,1553,317
782,1569,76,6,1592,0,3799,0,2697,1,1553,317
776,1139,81,9,2143,0,2657,0,3519,0,1553,317
768,1139,83,16,1517,0,350,0,6972,10,1553,317
739,258,63,35,2722,0,8370,0,4913,13,2016,249
736,1948,80,37,3764,0,1893,0,5736,11,1553,317
732,1484,83,15,1122,0,311,0,6290,10,1553,317
725,1063,82,12,1497,0,3813,0,3610,1,1553,317
13616,1560,78,22,2179,0,2931,0,6729,10,578,262
713,1753,79,12,2638,1,248,0,3232,0,1572,304
710,1579,75,0,3867,0,1611,0,2,0,19,296
677,1749,68,12,1924,3,3107,0,897,11,1567,308
660,1177,79,32,17,0,5048,0,430,9,20,302
657,765,79,15,2695,0,3702,4,2,12,1580,301
621,2008,82,13,3202,0,1576,0,4519,9,20,302
248,1365,80,25,1165,1,1565,0,7725,10,1428,164
247,2222,81,25,805,1,1028,0,7742,4,1428,164
246,1365,78,4,207,1,3001,0,7465,4,1428,164
590,2113,74,0,676,0,284,0,5764,9,20,302
589,1925,4,12,201,0,0,0,27,10,2119,129
588,149,68,12,2638,3,6386,0,2,4,1588,300
541,2213,84,6,1599,4,257,0,1262,0,1566,309
536,1553,78,12,1711,0,2901,0,1445,9,20,302
522,1782,81,32,17,0,614,0,472,11,2016,249
515,2229,82,25,3463,1,1447,0,7597,12,1575,299
245,2173,75,25,2072,1,3512,0,7666,1,1428,164
